ID,p_smooth,p_features,p_irregular,p_point_source,p_unclassifiable
GDS_wide2_8661,0.3283747136592865,0.5511371493339539,0.09120228886604309,0.02320963330566883,0.0060762870125472546
GDS_deep2_6273,0.3448448181152344,0.5015930533409119,0.10176215320825577,0.040555812418460846,0.011244142428040504
GDS_deep2_9452,0.08831119537353516,0.5431995391845703,0.2688058912754059,0.025025304406881332,0.07465808093547821
GDS_deep2_4202,0.11414125561714172,0.0043238126672804356,0.0001391237456118688,0.8812934756278992,0.00010228272731183097
GDS_wide2_3387,0.07416047155857086,0.6769626140594482,0.2153882533311844,0.009004883468151093,0.02448381297290325
GDS_wide2_4156,0.09477923065423965,0.5880398154258728,0.24446991086006165,0.021344603970646858,0.051366496831178665
GDS_deep2_10221,0.456569105386734,0.3724742531776428,0.08497177064418793,0.07260975241661072,0.013375104404985905
GDS_deep2_9317,0.3661784827709198,0.44406259059906006,0.10556341707706451,0.0661359578371048,0.01805954799056053
GDS_deep2_11173,0.09929060190916061,0.6573528051376343,0.20373645424842834,0.013912077993154526,0.025708118453621864
GDS_deep2_9351,0.09444193542003632,0.6590813994407654,0.2068149745464325,0.013225291855633259,0.026436366140842438
GDS_wide2_1568,0.09802468866109848,0.6591401696205139,0.20382969081401825,0.013521404005587101,0.025484060868620872
GDS_deep2_6035,0.006618148647248745,9.795640835363884e-06,1.2450314557099773e-08,0.9933720827102661,8.184293243118645e-09
GDS_deep2_7669,0.08134879916906357,0.6520785689353943,0.22200368344783783,0.012598557397723198,0.03197038918733597
GDS_ers2_13658,0.12054130434989929,0.6888073682785034,0.16733820736408234,0.010036180727183819,0.013276851736009121
GDS_wide2_3275,0.1235300824046135,0.6791046857833862,0.17079918086528778,0.01160308439284563,0.014963032677769661
GDS_wide2_583,0.10959753394126892,0.45578691363334656,0.2772122919559479,0.04279385507106781,0.11460942029953003
GDS_deep2_8109,0.3024313151836395,0.5202203989028931,0.11526573449373245,0.04605221748352051,0.01603032648563385
GDS_deep2_5524,0.557374119758606,0.27301540970802307,0.04678478091955185,0.11513117700815201,0.007694520987570286
GDS_wide2_2440,0.5213552117347717,0.30343905091285706,0.06473416090011597,0.09874529391527176,0.011726289987564087
GDS_ers2_12207,0.5400851368904114,0.36036771535873413,0.05551687628030777,0.04056769981980324,0.0034625506959855556
GDS_ers2_16944,0.06669444590806961,0.6685017347335815,0.2268664389848709,0.00912092812359333,0.02881639637053013
GDS_wide2_6749,0.47519591450691223,0.30477243661880493,0.07578560709953308,0.12412036210298538,0.02012561447918415
GDS_wide2_2098,0.07912614196538925,0.6262848973274231,0.2389417290687561,0.014381560496985912,0.04126567021012306
GDS_deep2_3468,0.5169811844825745,0.282286673784256,0.06252842396497726,0.1238996833562851,0.014304103329777718
GDS_ers2_16103,0.559920608997345,0.2686339020729065,0.045143816620111465,0.11880243569612503,0.007499260362237692
GDS_wide2_333,0.09138981997966766,0.6864310503005981,0.1942984163761139,0.009255818091332912,0.018624812364578247
GDS_deep2_8947,0.4615977704524994,0.3224997818470001,0.08105535805225372,0.11449231207370758,0.020354710519313812
GDS_ers2_14338,0.3493274748325348,0.29084527492523193,0.1234549805521965,0.1709519922733307,0.06542030721902847
GDS_deep2_10087,0.38952895998954773,0.2918953001499176,0.10539697855710983,0.16538172960281372,0.047797027975320816
GDS_wide2_8130,0.10919277369976044,0.6584528684616089,0.19464221596717834,0.01459086500108242,0.023121235892176628
GDS_wide2_1221,0.4295825660228729,0.39075592160224915,0.09151741117238998,0.07285426557064056,0.01528978906571865
GDS_ers2_17429,0.16906113922595978,0.4295961558818817,0.23759689927101135,0.06608917564153671,0.09765655547380447
GDS_deep2_6550,0.5266218185424805,0.3115268647670746,0.06350275874137878,0.08837921172380447,0.009969349950551987
GDS_deep2_7719,0.04851388931274414,0.7018670439720154,0.22249816358089447,0.005276937503367662,0.021843943744897842
GDS_deep2_3779,0.08755820244550705,0.5857937335968018,0.25193867087364197,0.019910631701350212,0.054798685014247894
GDS_wide2_257,0.14266064763069153,0.65378737449646,0.1670861393213272,0.018014533445239067,0.01845126785337925
GDS_ers2_15852,0.09800910949707031,0.4934219419956207,0.2781014144420624,0.033659927546978,0.09680765122175217
GDS_deep2_5998,0.11526914685964584,0.6398605108261108,0.19716095924377441,0.01914590783417225,0.028563519939780235
GDS_deep2_9060,0.6456902623176575,0.33268603682518005,0.010128132067620754,0.011438143439590931,5.745977250626311e-05
GDS_ers2_16791,0.3012551963329315,0.5811833739280701,0.09260459989309311,0.01939954049885273,0.005557285156100988
GDS_ers2_13293,0.08750751614570618,0.5884654521942139,0.25072723627090454,0.01962781697511673,0.05367204546928406
GDS_wide2_2863,0.17801783978939056,0.6540860533714294,0.13944824039936066,0.01677175797522068,0.011676161549985409
GDS_deep2_4861,0.18161021173000336,0.6776068210601807,0.12440112978219986,0.009954634122550488,0.006427219603210688
GDS_ers2_13172,0.2056063562631607,0.5085745453834534,0.18340353667736053,0.055775512009859085,0.04664003476500511
GDS_ers2_14516,0.1205035075545311,0.7472071647644043,0.12423159182071686,0.004049146547913551,0.004008477088063955
GDS_wide2_1386,0.08939827233552933,0.6517143845558167,0.21499547362327576,0.013794269412755966,0.030097542330622673
GDS_deep2_9516,0.2409982532262802,0.6613515019416809,0.08792611211538315,0.007151630241423845,0.002572537399828434
GDS_wide2_11210,0.5095267295837402,0.20435874164104462,0.043435968458652496,0.22712203860282898,0.01555646862834692
GDS_deep2_4439,0.21439681947231293,0.6230195760726929,0.12580206990242004,0.024346813559532166,0.012434783391654491
GDS_ers2_17196,0.15418395400047302,0.6273054480552673,0.16972939670085907,0.024892929941415787,0.02388830855488777
GDS_ers2_15883,0.06743025034666061,0.7419586777687073,0.1761837601661682,0.004234123509377241,0.010193189606070518
GDS_deep2_9718,0.0768771544098854,0.5385779142379761,0.2802654504776001,0.022446423768997192,0.08183306455612183
GDS_wide2_12608,0.3835594654083252,0.5469731688499451,0.05933140218257904,0.008800636045634747,0.001335315522737801
